title,type,description,release_year,runtime,genres,production_countries,tmdb_popularity,Actors
The Underclass,SHOW,"After getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity.",2020,55,'drama','TH',2.426,Natticha Chantaravareelrkha;Tarisa Preechatangkit;Miori Ohkubo;Sumitra Duangkaew;Mond Tanutchai Wijitvongtong;Praewa Suthamphong;Nannaphas Loetnamchoetsakun;Pass Pattanakumjon
The Man Who Feels No Pain,MOVIE,"Leveraging his ability to withstand pain, a young man trains to follow in the footsteps of his martial arts hero.",2019,136,'comedy';'action','IN',2.934,Abhimanyu Dasani;Radhika Madan;Mahesh Manjrekar;Jimit Trivedi;Gulshan Devaiah;Shweta Basu Prasad;Riva Arora;Elena Kazan;Loveleen Mishra;Ratheesh Balakrishnan Poduval;Vasan Bala
The Boys in the Band: Something Personal,MOVIE,"Decades after his play first put gay life center stage, Mart Crowley joins the cast of the 2020 film to reflect on the story's enduring legacy.",2020,28,'documentation','US',2.267,Mart Crowley;Jim Parsons;Zachary Quinto;Matt Bomer;Andrew Rannells;Charlie Carver;Robin de Jesús;Brian Hutchison;Michael Benjamin Washington;Tuc Watkins;Joe Mantello;Ned Martel
Any Crybabies Around?,MOVIE,"A man is caught on live national TV naked and drunk in the middle of the sacred Namahage festival, where men dressed in ogre-like costumes visit homes to scare kids into behaving during the next year. Tasuku, a young father, is ostracized for shaming the village and its tradition and flees to Tokyo alone. Two years later, he returns to his hometown to make it up to his ex-wife and their little daughter, only to find himself faced with a very difficult situation.",2020,106,'drama','JP',1.529,Taiga Nakano;Riho Yoshioka;Kanichiro Sato;Takashi Yamanaka;Kimiko Yo;Toshirō Yanagiba;Kotone Furukawa;Shunya Itabashi;Takuma Sato
Holiday Rush,MOVIE,"After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves.",2019,94,'drama';'comedy';'romance';'family','US',10.776,Sonequa Martin-Green;La La Anthony;Deon Cole;Stormi Maya;Tamala Jones;Romany Malco;Roscoe Orman;Darlene Love;Amarr M. Wooten;Jimmy Palumbo;Deysha Nelson;Andrea-Marie Alphonse;Selena-Marie Alphonse;Alysia Livingston;Rocco Parente;Leslie Small
GAME ON: A Comedy Crossover Event,SHOW,"Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series.",2020,30,'comedy';'family','US',3.255,Paul Wight
Love,MOVIE,The story of a family and the various situations navigated by a husband and wife.,2020,91,'thriller';'drama','IN',2.055,Shine Tom Chacko;Rajisha Vijayan;Sudhi Koppa;Veena Nandhakumar;Johny Antony;John Kaippallil;Rony David Raj;Aji Peter Thankam;Noufal Abdulla;Sunny Wayne;Khalid Rahman
Making Unorthodox,MOVIE,"Documentary about the making of the Netflix FIlm ""Unorthodox""",2020,21,'documentation','DE',1.767,Marlene Melchior
The Body,MOVIE,"When the body of a powerful businesswoman goes missing from the morgue, the inspector-in-charge hunts for the truth. When he questions her husband he realizes that there is much more to the case than meets the eye.",2019,104,'thriller';'comedy','IN',3.311,Emraan Hashmi;Sobhita Dhulipala;Rishi Kapoor;Rukhsar Rehman;Vedhika;Anupam Bhattacharya;Natašha Stanković;Scarlett Mellish Wilson;Jeethu Joseph
Thambi,MOVIE,Brother and sister who get separated and reunite years later when the brother has grown to be a criminal.,2019,150,'thriller';'action','IN',2.896,Karthi;Jyothika;Sathyaraj;Nikhila Vimal;Ammu Abhirami;Sowcar Janaki;Seetha;Ilavarasu;Anson Paul;Ashwanth Ashokkumar;Semmalar Annam;Bala;Hareesh Peradi;Mathew Varghese;Jeethu Joseph
A Choo,MOVIE,"Even when they were orphans, Wang Yizhi has always been in love with Xinxin. Now older, Yizhi decides to train as a boxer before he allows himself to profess his love, but only for her to fall for a geeky computer engineer who is secretly a popular superhero. When Xinxin gets kidnapped, Yizhi must prove his love and his fighting skills to get the girl of his dreams.",2020,101,'romance';'comedy';'action';'fantasy','TW',3.187,Kai Ko;Ariel Lin;Darren Wang;Kate Tsui;Zhang Xiaolong;Vanness Wu;Guan-Ting Liu;Anna Kay;Chunrong Dai;Louis Koo;Kevin Ko;Peter Tsi
The Claus Family,MOVIE,"After discovering his grandfather is Santa Claus, Jules has to help him deliver his presents all around the world. But Jules' hatred for Christmas might make that more difficult than Santa thought.",2020,96,'comedy';'family';'fantasy','BE',6.659,Jan Decleir;Mo Bakker;Bracha van Doesburgh;Stefaan Degand;Eva van der Gucht;Josje Huisman;Janne Desmet;Pommelien Thijs;Wim Willaert;Matthias Temmermans
Sillu Karupatti,MOVIE,An anthology of four romantic stories across four age groups connected by that magical thread called love.,2019,138,'drama';'romance','IN',3.546,Samuthirakani;Sunaina;K. Manikandan;Nivedhithaa Sathish;Kravmaga Sree Ram;Leela Samson;Semmalar Annam;Sara Arjun;Rahul;Venkatesh;Baby Swetha;Deepa Shankar;Halitha Shameem
K. D.,MOVIE,"As his children plot his death to claim their inheritance, an aging patriarch leaves home, befriending a spunky boy who adds direction to his life.",2019,119,'drama','IN',1.848,Mu Ramaswamy;Nagavishal;Yoge Jappie;Badava Gopi;Madhumita
Street Flow,MOVIE,"Noumouké, from the suburb of Paris, is about to decide which brother's foot steps to follow - the lawyer student Soulaymaan or the gangster Demba.",2019,96,'drama';'crime','FR',13.211,Bakary Diombera;Jammeh Diangana;Chloé Jouannet;Kery James;Dali Benssalah;Slimane Dazi;Cherine Ghemri;Ahmed Bedda;Aïmen Derriachi;Aïmen Derriachi;Mathieu Kassovitz;Nassim Saal;Walid Afkir;Ange Basterga;Kader Boukhanef;Noémie Bousquainaud;Jeremie Brevit;Akim Chir;Jakari Fraser;Abdelkader Hoggui;Boubacar Kabo;Kamel Laadaili;Yannick Lascombes;Christophe Lavalle;Paul Lefèvre;Rime Nahmani;Pierre Rousselet;Brigitte Sy;Leila Sy;Kery James
