title,type,description,release_year,runtime,genres,production_countries,tmdb_popularity,Actors
Taxi Driver,MOVIE,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,114,'drama';'crime','US',40.965,Robert De Niro;Jodie Foster;Albert Brooks;Harvey Keitel;Cybill Shepherd;Peter Boyle;Leonard Harris;Diahnne Abbott;Gino Ardito;Martin Scorsese;Murray Moston;Richard Higgs;Bill Minkin;Bob Maroff;Victor Argo;Joe Spinell;Robinson Frank Adu;Brenda Dickson;Norman Matlock;Harry Northup;Harlan Cary Poe;Steven Prince;Peter Savage;Nicholas Shields;Ralph S. Singleton;Annie Gagen;Carson Grant;Mary-Pat Green;Debbi Morgan;Don Stroud;Copper Cunningham;Garth Avery;Nat Grant;Billie Perkins;Catherine Scorsese;Charles Scorsese;Martin Scorsese
Deliverance,MOVIE,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",1972,109,'drama';'action';'thriller';'european','US',10.01,Jon Voight;Burt Reynolds;Ned Beatty;Ronny Cox;Ed Ramey;Billy Redden;Seamon Glass;Randall Deal;Bill McKinney;Herbert 'Cowboy' Coward;Lewis Crone;Ken Keener;Johnny Popwell;John Fowler;Kathy Rickman;Louise Coldren;Pete Ware;James Dickey;Macon McCalman;Hoyt Pollard;Belinda Beatty;Charley Boorman;John Boorman
Monty Python and the Holy Grail,MOVIE,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,91,'fantasy';'action';'comedy','GB',15.461,Graham Chapman;John Cleese;Eric Idle;Terry Gilliam;Terry Jones;Michael Palin;Connie Booth;Carol Cleveland;Neil Innes;Bee Duffell;John Young;Rita Davies;Avril Stewart;Sally Kinghorn;Mark Zycon;Elspeth Cameron;Mitsuko Forstater;Sandy Johnson;Sandy Rose;Romilly Squire;Joni Flynn;Alison Walker;Loraine Ward;Anna Lanski;Sally Coombe;Vivienne MacDonald;Yvonne Dick;Daphne Darling;Fiona Gordon;Judy Lamb;Tracy Sneddon;Joyce Pollner;Mary Allen;Gloria Graham;Sylvia Taylor;Julian Doyle;Margarita Doyle;Zack Matalon;Scott Mike;William Palin;Terry Jones;Tom Raeburn;Brian Ross;Roy Forge Smith;John Thornton;Maggie Weston;Terry Jones;Terry Gilliam
The Dirty Dozen,MOVIE,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",1967,150,'war';'action','GB';'US',20.398,Lee Marvin;Ernest Borgnine;Charles Bronson;Jim Brown;John Cassavetes;Richard Jaeckel;George Kennedy;Trini López;Ralph Meeker;Robert Ryan;Telly Savalas;Donald Sutherland;Clint Walker;Robert Webber;Tom Busby;Ben Carruthers;Stuart Cooper;Robert Phillips;Colin Maitland;Al Mancini;George Roubicek;Thick Wilson;Dora Reisser;Michael Anthony;Leo Britt;Alan Chuntz;Gary Files;Judith Furse;Hal Galili;Romo Gorrara;Willoughby Gray;Gerard Heinz;John G. Heller;George Hilsdon;John Hollis;Alf Joint;Juba Kennerley;Hildegard Knef;Ann Lancaster;Richard Marner;Dick Miller;Lionel Murton;Suzanne Owens-Duval;Mike Reid;Terry Richards;Frederick Schiller;Richard Shaw;Warren Stanhope;Hedger Wallace;Theodore Wilhelm;Rocky Taylor;Burnell Tucker;Vicki Woolf;Michael Segal;Robert Aldrich
Monty Python's Flying Circus,SHOW,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,30,'comedy';'european','GB',17.617,Graham Chapman;Michael Palin;Terry Jones;Eric Idle;Terry Gilliam
Life of Brian,MOVIE,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,94,'comedy','GB',17.77,Graham Chapman;John Cleese;Terry Gilliam;Eric Idle;Terry Jones;Michael Palin;Terence Bayler;Carol Cleveland;Kenneth Colley;Neil Innes;Charles McKeown;John Young;Gwen Taylor;Sue Jones-Davies;Peter Brett;John Case;Chris Langham;Andrew MacLachlan;Bernard McKenna;Spike Milligan;George Harrison;Terry Jones
Dirty Harry,MOVIE,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,102,'thriller';'action';'crime','US',12.817,Clint Eastwood;Harry Guardino;Reni Santoni;John Vernon;Andrew Robinson;John Larch;John Mitchum;Mae Mercer;Lyn Edgington;Ruth Kobart;Woodrow Parfrey;Josef Sommer;William Paterson;James Nolan;Maurice Argent;Jo De Winter;Craig Kelly;Albert Popwell;Joy Carlin;Bill Couch;Diana Davidson;Vince Deadrick Sr.;Chuck Dorsett;Al Dunlap;Larry Duran;George Fargo;Lois Foraker;Max Gail;John Garber;Christopher Pray;Eddie Garrett;James W. Gavin;David Gilliam;Don Haggerty;Scott Hale;Kate Harper;Bob Harris;Chuck Hicks;Raymond Johnson;Richard Lawson;Laurie Mock;Ann Noland;Kathleen O'Malley;Angela Paton;Victor Paul;Debralee Scott;Don Siegel;Kristoffer Tabori;Tony Dario;Marc Hertsens;Gordon Chapli;Janet Wisely;Pamela Tanimura;Richard Samuelson;Derek Jue;Sean Maley;Diane Darnell;Don Siegel
Bonnie and Clyde,MOVIE,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,110,'crime';'drama';'action','US',15.687,Warren Beatty;Faye Dunaway;Michael J. Pollard;Gene Hackman;Estelle Parsons;Denver Pyle;Dub Taylor;Evans Evans;Gene Wilder;Mabel Cavitt;Patrick Cranshaw;Owen Bush;Clyde Howdy;Russ Marker;Ann Palmer;Ken Mayer;Arthur Penn
The Blue Lagoon,MOVIE,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,104,'romance';'action';'drama','US',50.324,Brooke Shields;Christopher Atkins;Leo McKern;William Daniels;Jeffrey Kleiser;Gus Mercurio;Elva Josephson;Glenn Kohan;Bradley Pryce;Chad Timmerman;Gert Jacoby;Alex Hamilton;Richard Evanson;Randal Kleiser
The Guns of Navarone,MOVIE,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961,158,'action';'drama';'war','GB';'US',13.844,Gregory Peck;David Niven;Anthony Quinn;Stanley Baker;Anthony Quayle;James Darren;Irene Papas;Gia Scala;James Robertson Justice;Richard Harris;Bryan Forbes;Allan Cuthbertson;Michael Trubshawe;Percy Herbert;George Mikell;Walter Gotell;Tutte Lemkow;Albert Lieven;Norman Wooland;Kleo Skouloudi;Nicholas Papakonstantinou;Christopher Rhodes;William Hoehne Jr.;J. Lee Thompson
The Professionals,MOVIE,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,1966,117,'western';'action';'european','US',13.123,Burt Lancaster;Lee Marvin;Robert Ryan;Woody Strode;Jack Palance;Claudia Cardinale;Ralph Bellamy;Joe De Santis;Rafael Bertrand;Jorge Martínez de Hoyos;Marie Gomez;José Chávez;Carlos Romero;Vaughn Taylor;Elizabeth Campbell;Don Carlos;Leigh Chapman;Roberto Contreras;Dirk Evans;Darwin Lamb;Eddie Little Sky;John Lopez;John McKee;Philip L. Parslow;Ron Veto;Richard Brooks
Richard Pryor: Live in Concert,MOVIE,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",1979,78,'comedy';'documentation','US',4.718,Richard Pryor;Jennifer Lee Pryor;Jeff Margolis
White Christmas,MOVIE,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,115,'romance';'comedy','US',8.915,Bing Crosby;Danny Kaye;Rosemary Clooney;Vera-Ellen;Dean Jagger;Mary Wickes;John Brascia;Anne Whitfield;Bea Allen;Frank Baker;Glen Cargyle;George Chakiris;Barrie Chase;Lorinne Crawford;Franklyn Farnum;Bess Flowers;Gavin Gordon;Johnny Grant;Percy Helton;I. Stanford Jolley;Sig Ruman;Grady Sutton;Herb Vigran;Robert Crosson;Michael Curtiz
Cairo Station,MOVIE,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,77,'drama';'crime';'comedy','EG',5.546,Farid Shawqi;Hind Rostom;Youssef Chahine;Hassan el Baroudi;Abdel Aziz Khalil;Said Khalil;Abdel Ghani Nagdi;Loutfi El Hakim;Abdel Hamid Bodaoha;F. El Demerdache;Said El Araby;Ahmed Abaza;Hana Abdel Fattah;Safia Sarwat;Asaad Kellada;Naima Wasfy;Sherine;Soheir;Esmat Mahmoud;Nawal Morsi;Gharib Moawad;Mohamed Mazhar;Galal Issa;Mahrous El Garhi;Ahmed El Tantawi;S. Abdel Aziz;Nadia Lotfi;Safia Tharwat;Youssef Chahine
Hitler: A Career,MOVIE,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,150,'history';'documentation';'european','DE',4.305,Gert Westphal;Joachim Fest
FTA,MOVIE,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972,97,'war';'documentation';'music';'comedy','US',1.268,Jane Fonda;Donald Sutherland;Pamela Donegan;Len Chandler;Michael Alaimo;Holly Near;Paul Mooney;Rita Martinson;Peter Boyle;Steve Jaffe;Francine Parker
Alexandria… Why?,MOVIE,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1979,133,'drama','EG',1.37,Farid Shawqi;Mahmoud el-Meliguy;Ezzat El Alaili;Youssef Wahby;Yehia Chahine;Leila Fawzi;Akela Kateb;Zeinab Sedky;Ahmad Abdel Waress;Abdel Azziz Makhyoun;Ahmed Mehrez;Abdel Warith Assir;Aida Kamel;Oussaida Abbass;Zouzou Hamdy El-Hakim;Abdel Salam Mohamed;Halima El Soghayar;Samira Mohamed;Abou Hachich;Gamil El Traboulsi;Ahmad Zaki;Ahmad Bedir;Naglaa Fathy;Abdullah Mahmoud;Mohsena Tawfik;Seif Abdelrahman;Youssef Chahine
The Land,MOVIE,"Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Then Mahmoud Bey proposes a project that would require taking part of the peasants' lands.",1969,129,'drama','EG',1.265,Ezzat El Alaili;Mahmoud el-Meliguy;Hamdy Ahmed;Yehia Chahine;Tewfik El Dekn;Ali El Sherif;Salah El-Saadany;Nagwa Ibrahim;Abdel Warith Assir;Fatma Omara‏;Ashraf Al-Selehdar;Hussein Ismail;Mahmoud Al Iraq;Faiza Abdelgawwad;Youssef Chahine
Dostana,MOVIE,"Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.",1980,161,'drama';'comedy';'crime';'romance';'action','IN',3.98,Amitabh Bachchan;Shatrughan Sinha;Zeenat Aman;Prem Chopra;Amrish Puri;Helen;Pran;Gajanan Jagirdar;Sajjan;Iftekhar;K.N. Singh;Trilok Kapoor;Abhimanyu Sharma;Goga Kapoor;Mac Mohan;Paintal;Jagdish Raj;Ruby Myers;Yunus Parvez;Raj Khosla
Saladin the Victorious,MOVIE,"Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.",1963,186,'action';'drama';'war';'history';'romance','EG',4.156,Ahmad Mazhar;Nadia Lotfi;Salah Zulfikar;Leila Fawzi;Hamdy Ghaith;Laila Taher;Omar El-Hariri;Husain Reyadh;Mahmoud el-Meliguy;Zaki Toleimat;Tewfik El Dekn;Mohamed Hamdy;Mohamed Sultan;Mohamed Abdel Gawad;Sami Loutfi;Ibrahim Emara;Ahmed Louxor;Salah Nazmi;Youssef Chahine
Alibaba Aur 40 Chor,MOVIE,"The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",1979,146,'drama';'romance';'action';'fantasy';'family','SU';'IN',2.582,Dharmendra;Hema Malini;Zeenat Aman;Prem Chopra;Zakir Mukhamedzhanov;Sofiko Chiaureli;Yelena Sanayeva;Frunzik Mkrtchyan;Maya-Gozel Aimedova;Umesh Mehra;Latif Faiziyev
The Blazing Sun,MOVIE,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",1954,100,'crime';'romance';'drama','EG',2.184,Faten Hamamah;Omar Sharif;Zaki Rostom;Farid Shawqi;Abdel Warith Assir;Ahmad Abdel Waress;Hamdy Ghaith;Abdel Ghani Kamar;Zaki Ibrahim;Youssef Chahine
Dark Waters,MOVIE,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,120,'action';'drama';'romance';'thriller','EG',0.849,Omar Sharif;Faten Hamamah;Ahmed Ramzy;Tewfik El Dekn;Ferdoos Mohammed;Husain Reyadh;Youssef Chahine
We Are All for the Fatherland,MOVIE,"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",1979,74,'documentation','LB';'CA';'FR',0.6,Maroun Bagdadi
Singapore,MOVIE,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",1960,158,'drama';'thriller';'crime','IN',0.792,Shammi Kapoor;Padmini;Maria Menado;Shashikala;Agha;Shakti Samanta
Monty Python's Fliegender Zirkus,SHOW,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,43,'comedy',,1.487,Graham Chapman;John Cleese;Eric Idle;Terry Jones;Michael Palin;Ian MacNaughton
"Beirut, Oh Beirut",MOVIE,"In the aftermath of the 1967 defeat, four young Lebanese try to figure out their places in a society whose rules seem to have changed. It proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.",1975,110,'drama','LB',1.025,Ezzat El Alaili;Mireille Maalouf;Joseph Bou Nassar;Philippe Akiki;Ahmed Al Zain;Maroun Bagdadi
The Return of the Prodigal Son,MOVIE,"In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.",1976,124,'music';'drama';'crime','DZ';'EG',1.858,Mahmoud el-Meliguy;Hoda Soltan;Shukri Sarhan;Soheir El-Morshidy;Hesham Selim;Majida El Roumi;Ali El Sherif;Rajaa Hussain;Sid Ali Kouiret;Ali Mahrez;Ahmad Bedir;Youssef Chahine
Khoon Khoon,MOVIE,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.",1973,131,'crime';'thriller','IN',1.948,Mahendra Sandhu;Danny Denzongpa;Jagdeep;Faryal;Padma Khanna;Asit Sen;Karan Dewan;Agha;Murad;Sabina;Mohammed Hussain
Manoranjan,MOVIE,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",1974,162,'romance';'drama';'comedy','IN',1.532,Suhail Tatari
Ujala,MOVIE,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",1959,142,'romance';'crime';'drama','IN',0.84,Mala Sinha;Shammi Kapoor;Raaj Kumar;Leela Chitnis;Kumkum;Dhumal;Tun Tun;Asrani;Suresh
Whispers,MOVIE,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",1980,93,'documentation','CA';'FR';'LB',0.6,Nadia Tueni;Maroun Bagdadi
Chadi Jawani Budhe Nu,MOVIE,"A small-time businessman (B.S. Sood) reaches the ""naughty forties"". Now his wife is not good enough anymore, so he decides he needs a modern up to date mistress, resulting in hilarious situations.",1976,135,'romance','IN',0.62,A. Salaam
Bandie,MOVIE,"Maharaj Brajbhan lives a wealthy lifestyle in Bharatpur, India along with his wife, Badi Rani, but have been unable to conceive for Bharatpur, and have no choice but to leave it's reigns with Brajban's widowed cousin, Vikram, and his son, Kanchan. When Vikram finds out that Badi Rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the Maharaj, and then decides to have her killed. But her killer has a change of heart and lets her live. She gives birth to a son, names him Bhola, and starts living a simple lifestyle in a Mandir with the help of it's Poojary. Years later Vikram finds out she is alive and kills her, as well the Poojary and the Poojary's son. Bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.",1978,141,'drama';'action';'romance','IN',1.166,Uttam Kumar;Sulakshana Pandit;Utpal Dutt;Alo Sarkar
Seinfeld,SHOW,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,1989,24,'comedy','US',130.213,Jerry Seinfeld;Jason Alexander;Michael Richards;Julia Louis-Dreyfus
GoodFellas,MOVIE,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990,145,'drama';'crime','US',50.387,Ray Liotta;Robert De Niro;Joe Pesci;Lorraine Bracco;Paul Sorvino;Frank Sivero;Tony Darrow;Mike Starr;Frank Vincent;Chuck Low;Frank DiLeo;Henny Youngman;Gina Mastrogiacomo;Catherine Scorsese;Charles Scorsese;Suzanne Shepherd;Debi Mazar;Margo Winkler;Welker White;Jerry Vale;Julie Garfield;Christopher Serrone;Elaine Kagan;Beau Starr;Kevin Corrigan;Michael Imperioli;Robbie Vinton;Johnny Williams;Daniel P. Conte;Tony Conforti;Frank Pellegrino;Ronald Maccone;Tony Sirico;Joseph D'Onofrio;Steve Forleo;Richard Dioguardi;Frank Adonis;John Manca;Joseph Bono;Katherine Wallach;Mark Evan Jacobs;Angela Pietropinto;Marianne Leone Cooper;Marie Michaels;LoNardo;Melissa Prophet;Illeana Douglas;Susan Varon;Elizabeth Whitcraft;Clem Caserta;Samuel L. Jackson;Fran McGee;Paul Herman;Edward McDonald;Edward Hayes;Gina Mattia;Joel Calendrillo;Anthony Valentin;Edward D. Murphy;Michael Citriniti;Peter Hock;Erasmus C. Alfano;John Di Benedetto;Manny Alfaro;Thomas Lowry;Margaret Smith;Richard Mullally;Frank Albanese;Paul McIsaac;Bob Golub;Louis Eppolito;Tony Lip;Mikey Black;Peter Cicale;Anthony Powers;Vincent Pastore;Anthony Alessandro;Victor Colicchio;Mike Contessa;Philip Suriano;Paul Mougey;Norman Barbera;Anthony Polemeni;James Quattrochi;Lawrence Sacco;Dino Laudicina;Irving Welzer;Jesse Kirtzman;Russell Halley;Spencer Bradley;Bob Altman;Joanna Bennett;Gayle Lewis;Gaetano Lisi;Luke Walter;Ed Deacy;Larry Silvestri;John 'Cha Cha' Ciarcia;Vito Picone;Janis Corsair;Lisa D’Apolito;Frank Aquilino;Vito Antuofermo;Vincent Gallo;Gaetano LoGiudice;Garry Pastore;Nicole Burdette;Stella Keitel;Dominique DeVito;Michaelangelo Graziano;Paula Kcira;Nadine Kay;Tony Ellis;Peter Onorati;Jamie deRoy;Joel Blake;H. Clay Dear;Thomas Hewson;Gene Canfield;Margaux Guerard;Violet Gaynor;Tobin Bell;Berlinda Tolbert;Nancy Cassaro;Adam Wandt;Joe Gioco;Isiah Whitlock Jr.;Alyson Jones;Ruby Gaynor;Bo Dietl;Frank Cassini;Anthony Caso;Lisa Bostnar;Billy L. Sullivan;Daniela Barbosa;Martin Scorsese
Full Metal Jacket,MOVIE,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,117,'war';'drama','US';'GB',32.937,Matthew Modine;Adam Baldwin;Vincent D'Onofrio;R. Lee Ermey;Dorian Harewood;Arliss Howard;Kevyn Major Howard;Ed O'Ross;John Terry;Bruce Boa;Kieron Jecchinis;Jon Stafford;Tim Colceri;Peter Edmund;Kirk Taylor;Ian Tyler;Gary Landon Mills;Sal Lopez;Papillon Soo;Ngoc Le;Tan Hung Francione;Marcus D'Amico;Costas Dino Chimona;Keith Hodiak;Peter Merrill;Herbert Norville;Gil Kopel;Philip Bailey;Robert E. Hartenberger;Steve Hudson;John Curtis;Chris Maybach;Gary Smith;Michael Anthony Williams;John Wilson;Tony Carey;Vivian Kubrick;Stanley Kubrick;David Palffy;John Ward;David George;Stanley Kubrick
Once Upon a Time in America,MOVIE,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984,139,'crime';'drama';'european','US';'IT',28.937,Robert De Niro;James Woods;Elizabeth McGovern;Joe Pesci;Tuesday Weld;Burt Young;Treat Williams;Danny Aiello;Richard Bright;James Hayden;William Forsythe;Darlanne Fluegel;Larry Rapp;Olga Karlatos;Frank Gio;Jennifer Connelly;Scott Schutzman Tiler;Rusty Jacobs;Brian Bloom;Mike Monetti;Adrian Curran;Julie Cohen;Noah Moazezi;James Russo;Clem Caserta;Frank Sisto;Jerry Strivelli;Mike Gendel;Sandra Solberg;Margherita Pace;Paul Herman;Bruno Iannone;Bruno Bilotta;Ray Dittrich;Richard Foronjy;Mario Brega;Angelo Florio;Marcia Jean Kurtz;Gerard Murphy;Dutch Miller;Robert Harper;Amy Ryder;Karen Shallo;Frankie Caserta;Joey Marzella;Marvin Scott;Ann Neville;Joey Faye;Linda Ipanema;Tandy Cronyn;Richard Zobel;Baxter Harris;Arnon Milchan;Marty Licata;Estelle Harris;Gerritt Debeer;Alexander Godfrey;Cliff Cudney;Paul Farentino;Bruce Bahrenburg;Mort Freeman;Massimo Liti;Jay Zeely;Salvatore Billa;Greg Anthony;Scott Coffey;Matteo Cafiso;Nunzio Giuliani;Nelson Camp;Dario Iori;Ole Jorgensen;Francesca Leone;Chuck Low;Ron Nummi;Ryan Paris;Nicola Roberto;Gianni Sanjust;Alex Serra;Susan Spafford;Mark Frazer;Maria Pia Monicelli;Louise Fletcher;Claudio Mancini;Sergio Leone
When Harry Met Sally...,MOVIE,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",1989,96,'comedy';'romance';'drama','US',15.123,Billy Crystal;Meg Ryan;Carrie Fisher;Bruno Kirby;Steven Ford;Lisa Jane Persky;Michelle Nicastro;Gretchen Palmer;Robert Alan Beuth;David Burdick;Joe Viviani;Harley Jane Kozak;Joseph Hunt;Kevin Rooney;Franc Luz;Tracy Reiner;Kyle T. Heffner;Kimberley LaMarque;Stacey Katzin;Estelle Reiner;John Arceri;Connie Sawyer;Kuno Sponholz;Katherine Squire;Frances Chaney;Bernie Hern;Rose Wright;Aldo Rossi;Dona Hardy;Peter Pan;Jane Chung;Bob Ader;Jeff Dlugolecki;Nicholas Glaeser;Randy James;Stanley Moore;Larry Sherman;Marilyn Spanier;John Speredakos;Terry Vaughan;Anthony Welch;Rob Reiner
A Nightmare on Elm Street,MOVIE,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",1984,91,'horror','GB';'US',48.358,Heather Langenkamp;Robert Englund;John Saxon;Ronee Blakley;Amanda Wyss;Jsu Garcia;Johnny Depp;Charles Fleischer;Joseph Whipp;Lin Shaye;Joe Unger;Mimi Craven;Jack Shea;Ed Call;Sandy Lipton;David Andrews;Jeff Levine;Donna Woodrum;Shashawnee Hall;Carol Pritikin;Brian Reise;Ash Adams;Don Hannah;Leslie Hoffman;Paul Grenier;Kathi Gibbs;Chris Tashima;Antonia Yannouli;John Richard Petersen;Robert Shaye;Wes Craven
Steel Magnolias,MOVIE,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.",1989,119,'comedy';'drama';'romance','US',11.69,Sally Field;Dolly Parton;Shirley MacLaine;Daryl Hannah;Olympia Dukakis;Julia Roberts;Tom Skerritt;Sam Shepard;Dylan McDermott;Kevin J. O'Connor;Bill McCutcheon;Ann Wedgeworth;Knowl Johnson;Jonathan Ward;Bibi Besch;Janine Turner;James Wlcek;Ronald Young;Nancy Parsons;Robert Ginnaven;Tom Hodges;Rick Hurst;Robert Harling;Clara Gabrielle;Daniel Camp;Lori Tate;Robert Adams;Carol Sutton;Aja Sansone;Rodney Alan Fulton;Spencer Henderson;Sandra Asbury-Johnson;Gale J. Odom;Betsy Widhalm;Oscar J. Bienvenu Jr.;Teresa Beaudion;Gladys Mallard;Betty J. Dove;Travis Harrison;James Shapkoff III;Walker May;Robert R. Morgan;Roger D. McCann;Debbie McCann;Trent Dawson;Herbert Ross
