Title,RuntimePopularity,likability,IMDB_Rating,Actors,Director,Writer,Keywords,Genre,short_description,long_description,Awards
Civil War,109 min,658.839,6.971,7.1,"Kirsten Dunst, Wagner Moura, Cailee Spaeny",Alex Garland,Alex Garland,"['sniper', 'new york city', 'race against time', 'washington dc, usa', 'the white house', 'civil war', 'post-traumatic stress disorder (ptsd)', 'photographer', 'dystopia', 'war photographer', 'road trip', 'president', 'female protagonist', 'soldier', 'fictional war', 'photojournalism', 'xenophobia', 'assassination of president', 'suicide bombing', 'usa politics', 'war trauma', 'mass grave', 'war journalism', 'charlottesville', 'near future', 'violence', 'awestruck', 'defiant', 'euphoric']","['Thriller', 'Adventure', 'Action', 'Drama', 'War']","In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.","A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",9 nominations
Rebel Moon - Part Two: The Scargiver,122 min,502.256,6.131,5.2,"Sofia Boutella, Djimon Hounsou, Ed Skrein",Zack Snyder,"Zack Snyder, Kurt Johnstad, Shay Hatten","['space war', 'space', 'female protagonist', 'space opera', 'space adventure', 'action hero', 'alien spaceship', 'super hero girls', 'space vessel', 'odyssey', 'pretentious']","['Adventure', 'Drama', 'Action', 'Science Fiction']","The rebels gear up for battle against the ruthless forces of the Motherworld as unbreakable bonds are forged, heroes emerge — and legends are made.","Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion.",1 win
Twisters,122 min,480.751,7.1,7.1,"Daisy Edgar-Jones, Glen Powell, Anthony Ramos",Lee Isaac Chung,"Mark L. Smith, Joseph Kosinski, Michael Crichton","['tornado', 'twister', 'natural disaster', 'oklahoma', 'storm chaser', 'disaster', 'storm', 'disaster movie', 'social media influencer', 'exhilarated', 'exuberant']","['Adventure', 'Thriller', 'Action', 'Drama']","As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",A retired tornado-chaser and meteorologist is persuaded to return to Oklahoma to work with a new team and new technologies.,1 nomination
MaXXXine,103 min,466.206,6.5,N/A,"Charley Rowan McCain, Simon Prast, Mia Goth",Ti West,Ti West,"['pornography', 'gore', 'sequel', 'murder', 'fame', 'slasher', 'hollywood', 'whodunit', 'los angeles, california', 'video store', 'horror filmmaking', 'stardom', 'murder mystery', '1980s', 'somber', 'film production', 'televangelist', 'film within a film', 'aspiring actress', 'giallo', 'pastiche', 'satanic panic', 'night stalker', 'father daughter estrangement', 'religious trauma', 'mystery', 'disdainful']","['Horror', 'Crime', 'Mystery']","In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.","In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",3 nominations
The Fall Guy,126 min,436.699,7.202,7.3,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson",David Leitch,"Glen A. Larson, Drew Pearce","['stuntman', 'missing person', 'duringcreditsstinger', 'movie industry', 'action comedy', 'based on tv series', 'factual', 'amused', 'joyful']","['Drama', 'Action', 'Comedy']","Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.,4 nominations
Rebel Moon - Part One: A Child of Fire,133 min,411.452,6.331,5.6,"Sofia Boutella, Djimon Hounsou, Ed Skrein",Zack Snyder,"Zack Snyder, Kurt Johnstad, Shay Hatten","['space war', 'space', 'female protagonist', 'space opera', 'space adventure', 'action hero', 'alien spaceship', 'super hero girls', 'space vessel']","['Adventure', 'Drama', 'Action', 'Science Fiction']","When the ruthless forces of the Motherworld threaten a quiet farming village on a distant moon, a mysterious outsider becomes its best hope for survival.","When a peaceful settlement on the edge of a distant moon finds itself threatened by a tyrannical ruling force, a stranger living among its villagers becomes their best hope for survival.",2 wins & 3 nominations
Saving Bikini Bottom: The Sandy Cheeks Movie,82 min,390.649,6.089,4.1,"Carolyn Lawrence, Tom Kenny, Clancy Brown",Liza Johnson,"Kaz, Tom Stern, Stephen Hillenburg","['squirrel', 'texas', 'road trip', 'save the day', 'based on tv series']","['Family', 'Adventure', 'Animation', 'Comedy']","When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.","When Bikini Bottom is suddenly scooped out of the ocean, Sandy Cheeks and SpongeBob journey to Sandy's home state of Texas, where they meet Sandy's family and must save Bikini Bottom from the hands of an evil CEO",N/A
Dune: Part Two,166 min,318.923,8.165,8.6,"Timothée Chalamet, Zendaya, Rebecca Ferguson",Denis Villeneuve,"Denis Villeneuve, Jon Spaihts, Frank Herbert","['epic', 'based on novel or book', 'fight', 'politics', 'sandstorm', 'sand', 'spice', 'chosen one', 'cult', 'sequel', 'romance', 'tragedy', 'distant future', 'tragic hero', 'creature', 'planet', 'desert', 'destiny', 'giant worm', 'space opera', 'sand dune', 'allegorical', 'messiah', 'fall from grace', 'detached', 'vengeance', 'vindictive', 'religious allegory', 'giant creature', 'power', 'violence']","['Adventure', 'Drama', 'Action', 'Science Fiction']","Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,6 wins & 9 nominations
Trap,N/A,255.744,6.3,6.9,"Talat Bulut, Akin Akinözü, Bensu Soral",N/A,N/A,"['concert', 'philadelphia, pennsylvania', 'double life', 's.w.a.t.', 'pop star', 'father', 'limousine', 'celebrity', 'serial killer', 'obsessive compulsive disorder (ocd)', 'mental illness', 'sting operation', 'father daughter relationship']","['Crime', 'Mystery', 'Thriller', 'Drama']","A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.","In a world where it is hard to tell who is good and who is bad, what is real and what is fake, these three brothers, united by a common goal, will discover that they are not as connected as they thought.",N/A
Longlegs,101 min,238.566,6.8,7.2,"Maika Monroe, Nicolas Cage, Blair Underwood",Oz Perkins,Oz Perkins,"['homicide', 'fbi', 'religion and supernatural', 'haunting', 'satanism', 'barn', 'oregon, usa', 'murder', 'serial killer', 'religion', 'female protagonist', 'bill clinton', 'unspeakable evil', 'corpse', 'series of murders', 'killing spree', 'catholic', 'death', 'death in family', 'female police officer', 'occult', 'satanic ritual', 'crime spree', 'rookie', 'crime investigation', 'sadistic psychopath', 'scary doll', 'procedural', '1990s', 'dread', 'creepy doll', 'unsolved crime', 'psychological terror', 'police pursuit', 'haunted doll', 'homicide investigation', 'supernatural horror', 'female investigator', 'police procedural', 'children in danger', 'psychic vision', 'independent film', 'criminal plot', 'horrific crime', 'magical realism']","['Horror', 'Crime', 'Thriller']","In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.","In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",N/A
